Start,End,Price_SEK_per_kWh
2025-08-28T11:00Z,2025-08-28T12:00Z,1.12,
2025-08-28T12:00Z,2025-08-28T13:00Z,1.12,
2025-08-28T13:00Z,2025-08-28T14:00Z,1.12,
2025-08-28T14:00Z,2025-08-28T15:00Z,1.09,
2025-08-28T15:00Z,2025-08-28T16:00Z,1.47,
2025-08-28T16:00Z,2025-08-28T17:00Z,1.82,
2025-08-28T17:00Z,2025-08-28T18:00Z,1.92,
2025-08-28T18:00Z,2025-08-28T19:00Z,1.54,
2025-08-28T19:00Z,2025-08-28T20:00Z,1.28,
2025-08-28T20:00Z,2025-08-28T21:00Z,1.04,
2025-08-28T21:00Z,2025-08-28T22:00Z,0.8,
